Name,Pitches,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
Mitch Keller,3112,117.468,82.11,0.384,-4.104,18.64,9.67,28.31,-0.132
Nick Martinez,1751,108.701,79.506,0.358,-7.518,17.76,12.68,30.44,-0.429
Patrick Corbin,2886,99.645,84.378,0.41,20.407,15.8,9.22,25.02,0.707
Peter Lambert,1419,92.865,82.869,0.39,2.162,15.57,9.8,25.37,0.152
Ranger Suárez,2007,96.285,82.729,0.37,1.043,17.84,9.42,27.26,0.052
Rich Hill,2495,92.26,81.808,0.407,20.729,19.64,7.66,27.3,0.831
Ross Stripling,1429,91.686,83.963,0.413,10.292,17.49,10.5,27.99,0.72
Ryne Nelson,2351,117.785,84.313,0.385,20.045,14.89,8.85,23.74,0.853
Sandy Alcantara,2718,113.649,82.986,0.366,-8.318,14.72,12.47,27.19,-0.306
Sean Manaea,2023,104.558,81.957,0.378,-1.748,15.67,11.17,26.84,-0.086
Seth Lugo,2359,114.049,83.471,0.397,-8.936,18.82,9.2,28.02,-0.379
Spencer Strider,3070,138.642,81.878,0.387,-16.306,14.85,19.06,33.91,-0.531
Steven Matz,1811,103.737,81.887,0.353,-6.883,17.23,11.15,28.38,-0.38
Taijuan Walker,2824,98.6,82.897,0.351,-2.958,16.57,8.5,25.07,-0.105
Tommy Henry,1386,89.905,82.47,0.342,-2.761,14.5,10.32,24.82,-0.199
Tony Gonsolin,1664,95.416,82.255,0.411,6.035,14.6,9.68,24.28,0.363
Trevor Williams,2617,105.036,81.413,0.401,20.34,14.44,7.83,22.27,0.777
Tylor Megill,2233,119.716,83.751,0.406,8.565,15.32,9.45,24.77,0.384
Wade Miley,1872,96.308,81.422,0.344,-11.419,18.11,7.64,25.75,-0.61
Yu Darvish,2214,110.906,82.274,0.353,-1.435,18.29,10.66,28.95,-0.065
Zac Gallen,3241,118.191,85.253,0.397,-25.788,17.31,11.23,28.54,-0.796
Zach Davies,1497,84.982,83.79,0.395,20.24,18.37,8.22,26.59,1.352
Zack Wheeler,3146,143.603,81.55,0.35,-21.17,14.34,13.45,27.79,-0.673
