Name,Pitches,Velo,Max_Velo,SpinRate,IVB,HB,RelHeight,Extension,Stuff
JP Sears,2861,87.69,96.3,2188.08,10.0,5.75,4.76,6.53,129.85
Jaime Barria,1329,88.17,96.2,2104.35,10.17,-1.31,6.44,6.21,102.34
Jakob Junis,1361,87.05,96.8,2276.69,2.36,3.44,5.82,5.98,106.05
James Paxton,1689,90.22,98.2,2101.99,7.97,7.33,6.08,6.75,108.22
Jesse Scholtens,1447,86.72,96.1,2156.95,6.02,1.93,6.07,6.92,115.21
Jhony Brito,1442,90.76,98.5,2001.75,7.41,-9.89,6.11,6.24,112.45
Joe Musgrove,1549,87.41,96.3,2600.7,1.33,1.99,6.38,6.13,107.06
Joe Ryan,2674,88.11,96.0,2045.14,9.19,-7.4,5.0,6.5,113.55
Joey Wentz,1926,87.56,96.2,2279.87,7.96,6.14,6.04,6.44,100.27
Jon Gray,2391,90.44,98.1,2132.04,7.07,-3.24,5.56,6.56,104.73
Jordan Lyles,2783,85.88,94.0,2274.37,5.99,-0.34,5.93,6.82,99.88
Josh Winckowski,1380,91.66,99.0,2134.08,4.33,-3.72,5.99,6.6,116.04
José Berríos,2932,88.8,97.4,2090.28,6.33,-4.78,5.63,6.52,105.94
Ken Waldichuk,2549,88.14,97.3,2124.53,9.16,4.39,5.47,6.95,111.07
Kenta Maeda,1696,85.34,93.7,2108.77,5.17,-3.55,5.76,6.1,99.04
Kevin Gausman,3057,90.28,99.3,2085.5,10.92,-11.5,5.73,6.58,127.45
Kutter Crawford,2092,88.21,97.0,2301.22,9.47,-0.96,5.95,6.2,110.32
Kyle Bradish,2630,90.59,97.9,2389.59,3.57,2.19,6.27,6.44,105.46
Kyle Gibson,3022,87.56,95.1,2190.36,6.41,-4.18,6.26,6.88,115.21
Kyle Muller,1452,89.63,98.0,2251.33,6.88,3.3,6.08,6.44,95.52
Lance Lynn,2094,89.31,95.4,2411.2,7.82,-1.62,5.57,6.57,130.8
Logan Allen,2121,86.11,93.8,1919.92,8.25,-1.6,5.23,6.5,112.25
Logan Gilbert,2913,90.04,98.3,1883.61,6.16,-2.48,6.2,7.37,131.0
Logan Webb,3145,88.61,95.2,1854.88,-1.1,-7.88,5.02,6.96,148.43
Lucas Giolito,3183,86.85,96.7,1943.39,10.64,-5.37,6.33,6.8,106.33
Luis Castillo,3171,92.61,99.2,2206.19,7.12,-11.18,5.09,5.56,131.24
Luis Medina,1882,90.71,100.2,2241.48,7.72,-4.36,6.2,6.41,117.91
Luis Severino,1630,91.56,100.2,2226.16,9.52,-3.65,6.05,6.27,107.68
Martín Pérez,2213,88.55,95.1,1959.91,9.67,11.73,5.6,5.93,95.42
Merrill Kelly,2798,89.67,95.9,2304.39,6.7,-6.88,5.51,6.2,101.02
Michael King,1672,89.6,98.2,2444.12,7.08,-4.17,5.65,6.33,116.23
Michael Kopech,2422,91.31,99.9,2400.33,10.89,-4.9,5.68,6.78,130.51
Michael Lorenzen,1586,89.05,97.5,2419.28,8.49,-7.65,5.68,5.85,115.42
Michael Wacha,2218,85.78,95.7,1856.7,10.68,-7.42,6.58,6.68,105.67
Mike Clevinger,2098,88.15,97.6,2201.49,8.95,-1.0,5.78,6.73,112.2
Nathan Eovaldi,2214,89.28,99.1,2020.72,6.18,-6.73,5.52,6.86,116.65
Nick Martinez,1751,86.75,96.1,2298.02,6.01,-7.27,6.15,5.97,108.7
Nick Pivetta,2382,88.87,97.4,2471.61,6.93,1.79,6.59,6.85,127.69
Pablo López,3011,89.68,97.9,2303.89,5.71,-2.77,5.52,7.16,132.69
Patrick Sandoval,2591,87.12,97.7,2129.74,8.18,3.51,6.12,6.16,107.03
Paul Blackburn,1873,87.09,94.7,2250.24,3.82,-0.93,5.95,6.36,96.82
Reese Olson,1708,89.74,97.2,2467.93,4.29,-4.84,5.94,5.93,109.92
Reid Detmers,2591,88.2,97.7,2123.54,5.15,2.71,6.07,5.89,89.95
Ross Stripling,1429,86.89,95.6,2087.07,9.04,-2.48,6.94,6.07,91.69
Ryne Nelson,2351,89.07,98.8,2200.29,10.46,-1.48,5.98,6.63,117.78
Sean Manaea,2023,89.47,97.2,1958.45,7.59,9.23,5.67,7.08,104.56
Seth Lugo,2359,87.72,96.8,2578.37,3.25,-1.02,5.62,5.99,114.05
Shane Bieber,1951,87.3,93.5,2342.65,6.88,-0.93,5.64,6.77,117.11
Shane McClanahan,1817,90.82,100.6,2128.59,8.26,7.28,6.13,6.98,128.45
Shintaro Fujinami,1394,94.62,102.6,1865.22,9.05,-7.49,5.54,6.81,142.44
Shohei Ohtani,2077,89.44,101.2,2293.52,6.66,3.95,5.69,6.87,132.7
Sonny Gray,2781,87.85,94.9,2544.34,1.7,3.65,5.51,6.5,114.94
Taj Bradley,1817,90.53,99.4,2209.44,8.03,-1.25,6.11,6.45,123.65
Tanner Bibee,2323,88.77,99.0,2431.07,8.65,-0.61,6.37,6.53,108.71
Tanner Houck,1708,88.85,96.4,2297.32,0.6,-2.93,5.3,6.41,130.72
Tommy Henry,1386,86.24,93.5,2043.72,6.67,3.23,5.67,6.68,89.9
Touki Toussaint,1589,87.05,96.0,2170.26,2.0,-4.73,5.7,7.03,120.42
Trevor Richards,1350,86.98,94.9,2441.58,10.53,-12.13,6.27,6.26,146.22
Tyler Anderson,2427,85.37,94.8,2148.49,13.74,6.44,6.28,6.23,102.1
Tyler Glasnow,1893,91.53,99.1,2596.05,5.06,0.53,6.05,7.42,156.86
Tyler Wells,1891,87.63,95.8,2422.31,11.36,-1.88,6.91,6.33,115.08
Xzavion Curry,1494,87.61,95.2,2237.47,8.42,1.46,6.05,6.12,99.77
Yu Darvish,2214,87.83,97.6,2505.76,4.16,1.23,5.49,6.55,110.91
Yusei Kikuchi,2804,90.5,97.8,2340.75,8.14,3.48,5.4,6.87,134.53
Zac Gallen,3241,89.53,96.8,2234.65,7.49,-1.8,5.91,6.59,118.19
Zach Davies,1497,86.07,92.6,2106.17,8.69,-11.31,5.51,6.12,84.98
Zach Eflin,2574,87.0,95.6,2240.19,3.32,-2.25,5.92,6.62,104.54
Zack Greinke,2212,84.29,93.3,2239.11,5.65,-0.46,6.21,5.97,87.28
Zack Littell,1316,89.32,96.6,1903.11,9.51,-4.57,6.15,6.26,97.61
